datetime,electricity_demand_mwh,datetime_string,temperature_2m_c,hour,day,month,year,day_of_week,is_weekend
2022-01-01 05:00:00,-0.647032971385954,2022-01-01 05:00:00+00:00,-0.0005433900644867608,5,1,1,2022,5,1
2022-01-01 06:00:00,-0.8990725245315839,2022-01-01 06:00:00+00:00,-0.0005433900644867608,6,1,1,2022,5,1
2022-01-01 07:00:00,-1.1225501681323797,2022-01-01 07:00:00+00:00,0.0056880006033704165,7,1,1,2022,5,1
2022-01-01 08:00:00,-1.2950795406532014,2022-01-01 08:00:00+00:00,0.02438192335380795,8,1,1,2022,5,1
2022-01-01 09:00:00,-1.4019937155710263,2022-01-01 09:00:00+00:00,0.030613251708381743,9,1,1,2022,5,1
2022-01-01 10:00:00,-1.4448365798882772,2022-01-01 10:00:00+00:00,0.05553856512667645,10,1,1,2022,5,1
2022-01-01 11:00:00,-1.4066253765782966,2022-01-01 11:00:00+00:00,0.06800128414910742,11,1,1,2022,5,1
2022-01-01 12:00:00,-1.2881320491422958,2022-01-01 12:00:00+00:00,0.09915792592197592,12,1,1,2022,5,1
2022-01-01 13:00:00,-1.1611473431929662,2022-01-01 13:00:00+00:00,0.13031456769484442,13,1,1,2022,5,1
2022-01-01 14:00:00,-1.0117762757084965,2022-01-01 14:00:00+00:00,0.12408317702698725,14,1,1,2022,5,1
2022-01-01 15:00:00,-0.7967900106210296,2022-01-01 15:00:00+00:00,0.030613251708381743,15,1,1,2022,5,1
2022-01-01 16:00:00,-0.5794879150299276,2022-01-01 16:00:00+00:00,-0.05662528294236659,16,1,1,2022,5,1
2022-01-01 17:00:00,-0.4305028192960636,2022-01-01 17:00:00+00:00,-0.10024464373766606,17,1,1,2022,5,1
2022-01-01 18:00:00,-0.32436058787945066,2022-01-01 18:00:00+00:00,-0.15632659892882927,18,1,1,2022,5,1
2022-01-01 19:00:00,-0.2907810455767404,2022-01-01 19:00:00+00:00,-0.14386381759311492,19,1,1,2022,5,1
2022-01-01 20:00:00,-0.30158825459370464,2022-01-01 20:00:00+00:00,-0.20617710113885193,20,1,1,2022,5,1
2022-01-01 21:00:00,-0.23597305699070756,2022-01-01 21:00:00+00:00,-0.23733374291172044,21,1,1,2022,5,1
2022-01-01 22:00:00,0.0013995696318994933,2022-01-01 22:00:00+00:00,-0.2871844943748771,22,1,1,2022,5,1
2022-01-01 23:00:00,0.25112329227389424,2022-01-01 23:00:00+00:00,-0.32457246450231914,23,1,1,2022,5,1
2022-01-02 00:00:00,0.20364876694937284,2022-01-02 00:00:00+00:00,-0.23110253918371362,0,2,1,2022,6,1
2022-01-02 01:00:00,0.07087448474095522,2022-01-02 01:00:00+00:00,-0.31834113614774556,1,2,1,2022,6,1
2022-01-02 02:00:00,-0.07270700648442661,2022-01-02 02:00:00+00:00,-0.36196031000319445,2,2,1,2022,6,1
2022-01-02 03:00:00,-0.26376302303432986,2022-01-02 03:00:00+00:00,-0.3993484047572036,3,2,1,2022,6,1
2022-01-02 04:00:00,-0.5088550846690543,2022-01-02 04:00:00+00:00,-0.4055797331117773,4,2,1,2022,6,1
2022-01-02 05:00:00,-0.8048954173837528,2022-01-02 05:00:00+00:00,-0.38065441969348257,5,2,1,2022,6,1
2022-01-02 06:00:00,-1.0596367727836238,2022-01-02 06:00:00+00:00,-0.4180423898209248,6,2,1,2022,6,1
2022-01-02 07:00:00,-1.2464471000768624,2022-01-02 07:00:00+00:00,-0.3744230913389088,7,2,1,2022,6,1
2022-01-02 08:00:00,-1.3576069642513517,2022-01-02 08:00:00+00:00,-0.2497965242474348,8,2,1,2022,6,1
2022-01-02 09:00:00,-1.422450218353137,2022-01-02 09:00:00+00:00,-0.1189385664881036,9,2,1,2022,6,1
2022-01-02 10:00:00,-1.4259239641085897,2022-01-02 10:00:00+00:00,-0.09401331538309227,10,2,1,2022,6,1
2022-01-02 11:00:00,-1.3444839247307523,2022-01-02 11:00:00+00:00,-0.10024464373766606,11,2,1,2022,6,1
2022-01-02 12:00:00,-1.179288015471442,2022-01-02 12:00:00+00:00,0.08046387854497139,12,2,1,2022,6,1
2022-01-02 13:00:00,-0.9751089594009393,2022-01-02 13:00:00+00:00,-0.00677471841906055,13,2,1,2022,6,1
2022-01-02 14:00:00,-0.7446838242892379,2022-01-02 14:00:00+00:00,-0.03793136019192905,14,2,1,2022,6,1
2022-01-02 15:00:00,-0.48531080788209646,2022-01-02 15:00:00+00:00,-0.05662528294236659,15,2,1,2022,6,1
2022-01-02 16:00:00,-0.22323598922071403,2022-01-02 16:00:00+00:00,-0.09401331538309227,16,2,1,2022,6,1
2022-01-02 17:00:00,-0.04453106869019846,2022-01-02 17:00:00+00:00,-0.09401331538309227,17,2,1,2022,6,1
2022-01-02 18:00:00,0.054663671215508886,2022-01-02 18:00:00+00:00,-0.0005433900644867608,18,2,1,2022,6,1
2022-01-02 19:00:00,0.0577514452203558,2022-01-02 19:00:00+00:00,-0.05662528294236659,19,2,1,2022,6,1
2022-01-02 20:00:00,0.09248890277488367,2022-01-02 20:00:00+00:00,-0.11270717582024642,20,2,1,2022,6,1
2022-01-02 21:00:00,0.1851221229202913,2022-01-02 21:00:00+00:00,-0.13140128551053457,21,2,1,2022,6,1
2022-01-02 22:00:00,0.4699692748674198,2022-01-02 22:00:00+00:00,-0.1189385664881036,22,2,1,2022,6,1
2022-01-02 23:00:00,0.8026769238896755,2022-01-02 23:00:00+00:00,-0.23733374291172044,23,2,1,2022,6,1
2022-01-03 00:00:00,0.7872380538654409,2022-01-03 00:00:00+00:00,-0.2871844943748771,0,3,1,2022,0,0
2022-01-03 01:00:00,0.6644990371727758,2022-01-03 01:00:00+00:00,-0.27472177535244613,1,3,1,2022,0,0
2022-01-03 02:00:00,0.4908117494001365,2022-01-03 02:00:00+00:00,-0.29964702645745744,2,3,1,2022,0,0
2022-01-03 03:00:00,0.25112329227389424,2022-01-03 03:00:00+00:00,-0.2124084918067091,3,3,1,2022,0,0
